x,y,z
-50,-50,0
-49,-50,0
-48,-50,0
-47,-50,0
-46,-50,0
-45,-50,0
-44,-50,0
-43,-50,0
-42,-50,0
-41,-50,0
-40,-50,0
-39,-50,0
-38,-50,0
-37,-50,0
-36,-50,0
-35,-50,0
-34,-50,0
-33,-50,0
-32,-50,0
-31,-50,0
-30,-50,0
-29,-50,0
-28,-50,0
-27,-50,0
-26,-50,0
-25,-50,0
-24,-50,0
-23,-50,0
-22,-50,0
-21,-50,0
-20,-50,1
-19,-50,3
-18,-50,0
-17,-50,3
-16,-50,2
-15,-50,0
-14,-50,3
-13,-50,2
-12,-50,0
-11,-50,3
-10,-50,0
-9,-50,2
-8,-50,3
-7,-50,3
-6,-50,3
-5,-50,3
-4,-50,3
-3,-50,3
-2,-50,3
-1,-50,3
0,-50,3
1,-50,3
2,-50,3
3,-50,3
4,-50,3
5,-50,3
6,-50,3
7,-50,3
8,-50,3
9,-50,2
10,-50,0
11,-50,3
12,-50,0
13,-50,2
14,-50,3
15,-50,0
16,-50,2
17,-50,3
18,-50,0
19,-50,3
20,-50,1
21,-50,0
22,-50,0
23,-50,0
24,-50,0
25,-50,0
26,-50,0
27,-50,0
28,-50,0
29,-50,0
30,-50,0
31,-50,0
32,-50,0
33,-50,0
34,-50,0
35,-50,0
36,-50,0
37,-50,0
38,-50,0
39,-50,0
40,-50,0
41,-50,0
42,-50,0
43,-50,0
44,-50,0
45,-50,0
46,-50,0
47,-50,0
48,-50,0
49,-50,0
50,-50,0
-50,-49,0
-49,-49,0
-48,-49,0
-47,-49,0
-46,-49,0
-45,-49,0
-44,-49,0
-43,-49,0
-42,-49,0
-41,-49,0
-40,-49,0
-39,-49,0
-38,-49,0
-37,-49,0
-36,-49,0
-35,-49,0
-34,-49,0
-33,-49,0
-32,-49,0
-31,-49,0
-30,-49,0
-29,-49,0
-28,-49,0
-27,-49,0
-26,-49,0
-25,-49,0
-24,-49,0
-23,-49,0
-22,-49,1
-21,-49,3
-20,-49,2
-19,-49,2
-18,-49,2
-17,-49,3
-16,-49,0
-15,-49,2
-14,-49,3
-13,-49,0
-12,-49,2
-11,-49,2
-10,-49,3
-9,-49,2
-8,-49,0
-7,-49,2
-6,-49,3
-5,-49,3
-4,-49,3
-3,-49,3
-2,-49,3
-1,-49,3
0,-49,3
1,-49,3
2,-49,3
3,-49,3
4,-49,3
5,-49,3
6,-49,3
7,-49,2
8,-49,0
9,-49,2
10,-49,3
11,-49,2
12,-49,2
13,-49,0
14,-49,3
15,-49,2
16,-49,0
17,-49,3
18,-49,2
19,-49,2
20,-49,2
21,-49,3
22,-49,1
23,-49,0
24,-49,0
25,-49,0
26,-49,0
27,-49,0
28,-49,0
